[Script Info]
; // 此字幕由Srt2Ass生成
; // 欢迎访问人人影视 http://www.YYeTs.com
Title:YYeTs
Original Script:YYeTs
Synch Point:1
ScriptType:v4.00+
Collisions:Normal

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,方正黑体_GBK,20,&H00FFFFFF,&HF0000000,&H00000000,&H32000000,0,0,0,0,100,100,0,0.00,1,2,1,2,5,5,2,134

[Events]
Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:01:44.49,0:01:46.76,*Default,NTP,0000,0000,0000,,-什么  -才十点钟
Dialogue: 0,0:02:01.31,0:02:03.43,*Default,NTP,0000,0000,0000,,这地方比我印象里小了点
Dialogue: 0,0:02:03.43,0:02:04.94,*Default,NTP,0000,0000,0000,,你就觉得小而已吗
Dialogue: 0,0:02:05.35,0:02:07.32,*Default,NTP,0000,0000,0000,,杰  你上次来这里是什么时候
Dialogue: 0,0:02:07.32,0:02:09.93,*Default,NTP,0000,0000,0000,,没多久  74年75年左右
Dialogue: 0,0:02:09.93,0:02:11.14,*Default,NTP,0000,0000,0000,,是我两岁的时候吗
Dialogue: 0,0:02:11.14,0:02:12.45,*Default,NTP,0000,0000,0000,,你这么说我就不乐意了
Dialogue: 0,0:02:12.45,0:02:14.85,*Default,NTP,0000,0000,0000,,我看过他们的网站  照片看起来挺漂亮的
Dialogue: 0,0:02:14.85,0:02:16.43,*Default,NTP,0000,0000,0000,,妈呀  蜥蜴
Dialogue: 0,0:02:16.43,0:02:18.61,*Default,NTP,0000,0000,0000,,永远别相信网上的照片
Dialogue: 0,0:02:18.62,0:02:19.50,*Default,NTP,0000,0000,0000,,只要找好拍照的角度
Dialogue: 0,0:02:19.50,0:02:21.96,*Default,NTP,0000,0000,0000,,你可以让所有东西显得更大更好
Dialogue: 0,0:02:22.95,0:02:25.01,*Default,NTP,0000,0000,0000,,他说的是房子  死变态  他是房产经纪人
Dialogue: 0,0:02:25.01,0:02:27.50,*Default,NTP,0000,0000,0000,,我就觉得听到动静了
Dialogue: 0,0:02:27.50,0:02:30.92,*Default,NTP,0000,0000,0000,,罗比  我跟你说嘛  来人了
Dialogue: 0,0:02:30.95,0:02:32.90,*Default,NTP,0000,0000,0000,,我的天呐  那就是20年后的我啊
Dialogue: 0,0:02:32.90,0:02:34.77,*Default,NTP,0000,0000,0000,,好吧  你要是她  我就是抛弃她的人
Dialogue: 0,0:02:34.78,0:02:36.38,*Default,NTP,0000,0000,0000,,我们办入住  预订名字是普里契特
Dialogue: 0,0:02:36.38,0:02:38.81,*Default,NTP,0000,0000,0000,,杰·普里契特  三间房
