[Script Info]
; // 此字幕由Srt2Ass生成
; // 欢迎访问人人影视 http://www.YYeTs.com
Title:YYeTs
Original Script:YYeTs
Synch Point:1
ScriptType:v4.00+
Collisions:Normal

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,方正黑体_GBK,20,&H00FFFFFF,&HF0000000,&H00000000,&H32000000,0,0,0,0,100,100,0,0.00,1,2,1,2,5,5,2,134

[Events]
Format: Layer, Start, End, Style, Actor, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:00:02.45,0:00:05.03,*Default,NTP,0000,0000,0000,,我们要去圣巴巴拉拿摇篮车
Dialogue: 0,0:00:05.03,0:00:06.51,*Default,NTP,0000,0000,0000,,或者我们省下5个小时
Dialogue: 0,0:00:06.51,0:00:08.16,*Default,NTP,0000,0000,0000,,直接去拐角处的婴儿市场
Dialogue: 0,0:00:08.16,0:00:09.23,*Default,NTP,0000,0000,0000,,你今天要干嘛
Dialogue: 0,0:00:09.23,0:00:10.87,*Default,NTP,0000,0000,0000,,-杰  -没关系的  妈妈
Dialogue: 0,0:00:10.88,0:00:13.15,*Default,NTP,0000,0000,0000,,怎么没关系  今天是曼尼的生日
Dialogue: 0,0:00:13.15,0:00:14.77,*Default,NTP,0000,0000,0000,,呀  孩子  真是抱歉
Dialogue: 0,0:00:14.77,0:00:17.74,*Default,NTP,0000,0000,0000,,别担心  罗本一家要带我去吃生日午餐
Dialogue: 0,0:00:17.74,0:00:19.99,*Default,NTP,0000,0000,0000,,你看  连罗本一家都记得
Dialogue: 0,0:00:20.33,0:00:21.52,*Default,NTP,0000,0000,0000,,我们会在6点回来
Dialogue: 0,0:00:21.52,0:00:24.34,*Default,NTP,0000,0000,0000,,然后带你去吃特别生日晚餐  好不好
Dialogue: 0,0:00:24.34,0:00:25.71,*Default,NTP,0000,0000,0000,,-真要吗  -杰
Dialogue: 0,0:00:25.71,0:00:27.19,*Default,NTP,0000,0000,0000,,抱歉  孩子
Dialogue: 0,0:00:27.19,0:00:29.41,*Default,NTP,0000,0000,0000,,我并不抱歉  那只是障眼法
Dialogue: 0,0:00:29.41,0:00:32.25,*Default,NTP,0000,0000,0000,,我们要给他办一个大型惊喜生日派对
Dialogue: 0,0:00:32.25,0:00:35.08,*Default,NTP,0000,0000,0000,,他竟然完全信了  那个小兔崽子
Dialogue: 0,0:00:35.13,0:00:37.96,*Default,NTP,0000,0000,0000,,那正是惊喜派对的意义所在嘛
Dialogue: 0,0:00:38.01,0:00:39.74,*Default,NTP,0000,0000,0000,,你把自己真心爱的一个人
Dialogue: 0,0:00:39.74,0:00:41.25,*Default,NTP,0000,0000,0000,,当傻子一样耍
Dialogue: 0,0:00:41.25,0:00:43.57,*Default,NTP,0000,0000,0000,,那才不是我们这样做的全部意义
Dialogue: 0,0:00:43.57,0:00:45.71,*Default,NTP,0000,0000,0000,,曼尼感觉自己有点受冷落
Dialogue: 0,0:00:45.71,0:00:48.66,*Default,NTP,0000,0000,0000,,所以我想给他一个最特别的日子
Dialogue: 0,0:00:48.92,0:00:50.08,*Default,NTP,0000,0000,0000,,我们三个人单独庆生
Dialogue: 0,0:00:50.08,0:00:51.99,*Default,NTP,0000,0000,0000,,也就这最后一次了
Dialogue: 0,0:00:51.99,0:00:54.31,*Default,NTP,0000,0000,0000,,我迫不及待想看到小宝贝了
Dialogue: 0,0:00:55.58,0:00:57.18,*Default,NTP,0000,0000,0000,,然后那个自以为是的卡萝·曲就开始咆哮
Dialogue: 0,0:00:57.18,0:00:59.22,*Default,NTP,0000,0000,0000,,"没有环境影响报告是不能挖的"
Dialogue: 0,0:00:59.22,0:01:00.38,*Default,NTP,0000,0000,0000,,然后我"嘭"地一下
Dialogue: 0,0:01:00.39,0:01:01.92,*Default,NTP,0000,0000,0000,,把报告甩在了查理的桌子上
Dialogue: 0,0:01:01.92,0:01:03.86,*Default,NTP,0000,0000,0000,,卡萝就在那里  "但  但  但是"
Dialogue: 0,0:01:03.86,0:01:05.76,*Default,NTP,0000,0000,0000,,然后我就说  "去"你妈的
Dialogue: 0,0:01:05.76,0:01:06.49,*Default,NTP,0000,0000,0000,,你那么说了吗
Dialogue: 0,0:01:06.49,0:01:09.30,*Default,NTP,0000,0000,0000,,没用嘴说  用我的眼神和潇洒的转体
Dialogue: 0,0:01:10.00,0:01:11.50,*Default,NTP,0000,0000,0000,,你呢  今天工作怎样
Dialogue: 0,0:01:11.87,0:01:13.92,*Default,NTP,0000,0000,0000,,就那样  还行
