[Script Info]
; Script generated by Aegisub 2.1.8
; http://www.aegisub.org/
Title:YYeTs
Original Script:YYeTs
Synch Point:1
ScriptType: v4.00+
Collisions:Normal
Timer:100.0000
Video File: Modern.Family.S03E24.HDTV.x264-LOL.avi
Video Aspect Ratio: 0
Video Zoom: 8
Video Position: 4597
Audio File: Modern.Family.S03E24.HDTV.x264-LOL.avi

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,方正黑体简体,20,&H00FFFFFF,&HF0000000,&H00000000,&H32000000,0,0,0,0,100,100,0,0,1,2,1,2,5,5,2,134

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:02:04.08,0:02:05.34,*Default,NTP,0000,0000,0000,,现在减了多少磅  30吗
Dialogue: 0,0:02:07.61,0:02:09.05,*Default,NTP,0000,0000,0000,,相当于我减掉了莉莉的重量[丢了]
Dialogue: 0,0:02:10.25,0:02:11.60,*Default,NTP,0000,0000,0000,,莉莉去哪儿了
Dialogue: 0,0:02:11.60,0:02:12.93,*Default,NTP,0000,0000,0000,,-你  她没有跟你一起吗  -没
Dialogue: 0,0:02:12.93,0:02:13.73,*Default,NTP,0000,0000,0000,,她怎么会跟我在一起呢
Dialogue: 0,0:02:13.73,0:02:15.10,*Default,NTP,0000,0000,0000,,-我又没把她装在口袋里  -小卡
Dialogue: 0,0:02:15.10,0:02:16.57,*Default,NTP,0000,0000,0000,,皇冠头饰呢
Dialogue: 0,0:02:16.57,0:02:17.51,*Default,NTP,0000,0000,0000,,我们没买
Dialogue: 0,0:02:17.51,0:02:19.03,*Default,NTP,0000,0000,0000,,你可以戴去年的
Dialogue: 0,0:02:19.03,0:02:20.14,*Default,NTP,0000,0000,0000,,我们变穷了吗
Dialogue: 0,0:02:20.15,0:02:23.30,*Default,NTP,0000,0000,0000,,不是  甜心  你用不着两个皇冠头饰啊
Dialogue: 0,0:02:23.31,0:02:25.60,*Default,NTP,0000,0000,0000,,明年万圣节你换套服装怎么样啊
Dialogue: 0,0:02:25.60,0:02:27.79,*Default,NTP,0000,0000,0000,,不行  我必须扮公主
Dialogue: 0,0:02:27.79,0:02:29.15,*Default,NTP,0000,0000,0000,,每年都要吗  为什么
Dialogue: 0,0:02:29.15,0:02:31.04,*Default,NTP,0000,0000,0000,,因为我妈妈是个公主
Dialogue: 0,0:02:31.04,0:02:33.03,*Default,NTP,0000,0000,0000,,你告诉我的
Dialogue: 0,0:02:34.03,0:02:36.02,*Default,NTP,0000,0000,0000,,我和小卡都知道早晚有一天
Dialogue: 0,0:02:36.02,0:02:38.07,*Default,NTP,0000,0000,0000,,我们得和莉莉谈谈
Dialogue: 0,0:02:38.07,0:02:40.32,*Default,NTP,0000,0000,0000,,她妈妈的事
Dialogue: 0,0:02:40.74,0:02:42.69,*Default,NTP,0000,0000,0000,,我  我们会找准时机
Dialogue: 0,0:02:42.69,0:02:44.53,*Default,NTP,0000,0000,0000,,一起跟她谈
Dialogue: 0,0:02:44.53,0:02:47.14,*Default,NTP,0000,0000,0000,,严格按我们商量好的剧本上演
Dialogue: 0,0:02:48.61,0:02:50.22,*Default,NTP,0000,0000,0000,,然后有一天我累了
Dialogue: 0,0:02:50.61,0:02:54.09,*Default,NTP,0000,0000,0000,,"她是人间天堂魔幻三界最漂亮的公主  
Dialogue: 0,0:02:54.30,0:02:55.91,*Default,NTP,0000,0000,0000,,剧终"
Dialogue: 0,0:02:56.23,0:02:57.55,*Default,NTP,0000,0000,0000,,多少遍了啊
Dialogue: 0,0:02:58.07,0:03:01.20,*Default,NTP,0000,0000,0000,,为什么泰勒的妈妈那么肥
Dialogue: 0,0:03:02.14,0:03:05.13,*Default,NTP,0000,0000,0000,,那是因为她  她怀着个小宝宝
Dialogue: 0,0:03:05.13,0:03:06.34,*Default,NTP,0000,0000,0000,,行了吧  晚安
Dialogue: 0,0:03:06.48,0:03:09.85,*Default,NTP,0000,0000,0000,,我妈妈也怀过我吗
Dialogue: 0,0:03:10.00,0:03:11.39,*Default,NTP,0000,0000,0000,,莉莉  不许再问了  好吧
Dialogue: 0,0:03:11.39,0:03:12.81,*Default,NTP,0000,0000,0000,,快  快睡觉
Dialogue: 0,0:03:13.22,0:03:15.33,*Default,NTP,0000,0000,0000,,我妈妈现在在哪儿
Dialogue: 0,0:03:15.67,0:03:17.47,*Default,NTP,0000,0000,0000,,她在
Dialogue: 0,0:03:17.78,0:03:19.92,*Default,NTP,0000,0000,0000,,在遥远的国度
Dialogue: 0,0:03:20.33,0:03:21.58,*Default,NTP,0000,0000,0000,,为什么
Dialogue: 0,0:03:21.68,0:03:24.31,*Default,NTP,0000,0000,0000,,因为她是个公主
Dialogue: 0,0:03:24.31,0:03:27.52,*Default,NTP,0000,0000,0000,,并且她  很忙很忙
Dialogue: 0,0:03:28.64,0:03:30.10,*Default,NTP,0000,0000,0000,,好吧
Dialogue: 0,0:03:30.42,0:03:32.29,*Default,NTP,0000,0000,0000,,我以为她第二天早晨就忘了呢
Dialogue: 0,0:03:32.30,0:03:33.92,*Default,NTP,0000,0000,0000,,反正我是忘了
Dialogue: 0,0:03:34.39,0:03:35.98,*Default,NTP,0000,0000,0000,,我知道终究是要告诉小卡的
Dialogue: 0,0:03:35.99,0:03:37.28,*Default,NTP,0000,0000,0000,,他知道了肯定会很生气
Dialogue: 0,0:03:37.28,0:03:39.82,*Default,NTP,0000,0000,0000,,但我希望他能意识到更严重的问题
Dialogue: 0,0:03:39.98,0:03:43.14,*Default,NTP,0000,0000,0000,,我当时真的累惨了
Dialogue: 0,0:03:44.28,0:03:45.85,*Default,NTP,0000,0000,0000,,小卡  你知道莉莉
Dialogue: 0,0:03:45.85,0:03:48.08,*Default,NTP,0000,0000,0000,,今年又想打扮成公主吗
Dialogue: 0,0:03:48.08,0:03:49.84,*Default,NTP,0000,0000,0000,,我想  那可能是因为我让她相信
Dialogue: 0,0:03:49.84,0:03:52.22,*Default,NTP,0000,0000,0000,,-她妈妈是  -真是场噩梦
Dialogue: 0,0:03:52.22,0:03:55.29,*Default,NTP,0000,0000,0000,,-只是犯了点小错  -简直是灾难啊
Dialogue: 0,0:03:55.44,0:03:58.20,*Default,NTP,0000,0000,0000,,他们送来的斗牛士服是按你的尺寸做的
Dialogue: 0,0:03:58.36,0:04:00.25,*Default,NTP,0000,0000,0000,,而公牛服按我的尺寸做的
Dialogue: 0,0:04:00.25,0:04:01.64,*Default,NTP,0000,0000,0000,,我没注意到
Dialogue: 0,0:04:01.64,0:04:03.23,*Default,NTP,0000,0000,0000,,穿着这件肥大的公牛服
Dialogue: 0,0:04:03.23,0:04:05.35,*Default,NTP,0000,0000,0000,,别人看不到人家的好身材了啦
Dialogue: 0,0:04:05.35,0:04:07.13,*Default,NTP,0000,0000,0000,,这个  真的是无心之过啦
Dialogue: 0,0:04:07.13,0:04:09.48,*Default,NTP,0000,0000,0000,,听着  你也可以尝试你以前想试的造型
Dialogue: 0,0:04:09.48,0:04:11.13,*Default,NTP,0000,0000,0000,,你现在也可以穿那套
Dialogue: 0,0:04:11.13,0:04:12.99,*Default,NTP,0000,0000,0000,,超美超合身的白色西服
Dialogue: 0,0:04:13.18,0:04:16.05,*Default,NTP,0000,0000,0000,,{\an8}{\fn方正黑体简体\fs18\b1\bord1\shad1\3c&H2F2F2F&}[电视剧《梦幻岛》男主角和他的小搭档]
Dialogue: 0,0:04:13.18,0:04:14.36,*Default,NTP,0000,0000,0000,,然后扮演洛克先生
Dialogue: 0,0:04:14.36,0:04:15.91,*Default,NTP,0000,0000,0000,,让莉莉扮你的"小纹身"
